01747     00517-8905-01  N0000847200000036
01747     00517-0310-10  N0005833200000036
01747     00517-0301-10  N0004090800000036
01747     00517-3065-01  N0008131200000036
01747     00517-6202-25  N0003943200000036
01747     00517-8201-25  N0002834400000036
01747     00517-0033-10  N0000705600000036
01747     00517-0034-10  N0000705600000036
01747     00517-4805-10  N0000882000000036
01747     00517-4810-10  N0005400000000036
01747     00517-4010-01  N0000670800000036
01747     00517-2305-25  N0001447200000036
01747     00517-2802-25  N0000988800000036
01747     00517-3405-25  N0001552800000036
01747     00517-3005-25  N0000904800000036
01747     00517-0510-25  N0005094000000036
01747     00517-1020-25  N0004725600000036
01747     00517-5402-05  N0000423600000036
01747     00517-5404-05  N0000564000000036
01747     00469-0246-25  N0001320000000048
01747     00469-1234-25  N0001320000000024
01747     00469-0311-50  N0005040000000048
01747     00469-0311-10  N0002160000000048
01747     63323-0238-61  N0026400000000012
01747     63323-0165-05  N0002400000000048
01747     63323-0165-30  N0000810000000048
01747     63323-0165-01  N0001500000000048
01747     00469-1001-61  N0019800000000048
01747     63323-0883-30  N0005220000000048
01747     63323-0130-10  N0003840000000048
01747     63323-0001-30  N0002040000000048
01747     63323-0001-05  N0001494000000048
01747     63323-0272-05  N0002100000000048
01747     00469-1840-30  N0001072800000048
01747     63323-0038-10  N0005640000000048
01747     63323-0545-01  N0001020000000048
01747     00469-1700-30  N0004800000000048
01747     00469-5042-01  N0002100000000048
01747     63323-0051-02  N0001530000000012
01747     63323-0247-10  N0001080000000048
01747     63323-0248-10  N0001080000000048
01747     63323-0208-05  N0002889600000048
01747     00469-0900-40  N0009000000000012
01747     63323-0146-40  N0008760000000048
01747     00469-1460-60  N0014400000000048
01747     63323-0064-02  N0001200000000048
01747     00469-8100-31  N0002400000000048
01747     00469-9800-30  N0009600000000048
01747     00469-9400-00  N0002760000000048
01747     63323-0081-10  N0007200000000048
01747     00469-1800-30  N0005040000000048
01747     63323-0028-01  N0003780000000048
01747     00469-2000-30  N0024000000000048
01747     63323-0042-05  N0007340400000048
01747     63323-0425-25  N0005040000000144
01747     00469-0113-10  N0027000000000048
01747     00469-0965-05  N0001380000000048
01747     63323-0965-10  N0001218000000048
01747     63323-0229-05  N0004200000000048
01747     00469-9186-02  N0001200000000048
01747     00469-1187-25  N0002220000000720
01747     63323-0221-10  N0012600000000048
01747     63323-0295-61  N0005040000000048
01747     63323-0278-10  N0002160000000048
01747     00469-0185-15  N0001440000000336
01747     00338-1073-02  N0051600000000008
01747     00338-0491-02  N0013200000000480
01747     00338-0491-03  N0023880000000480
01747     00260-0636-01  N0015054000000480
01747     00260-0636-05  N0069132000000048
01747     00260-0631-01  N0010200000000600
01747     00260-0634-01  N0009600000002400
01747     00193-2802-21  N0000999600000012
01747     00193-2882-50  N0000960000000012
01747     00193-2880-50  N0000806400000024
01747     30193-2161-21  N0005421600000096
01747     55390-0053-01  N0001320000000288
01747     55390-0051-10  N0003450000000288
01747     55390-0880-10  N0000840000000288
01747     55390-0107-10  N0000648000000288
01747     00015-5648-20  N0005880000000288
01747     00015-5645-20  N0019800000000288
01747     00015-5646-20  N0021600000000288
01747     00015-5644-20  N0036960000000288
01747     59772-6175-20  N0000386400000960
01747     59772-6175-10  N0000386400000960
01747     06226-9211-24  N0001146000000360
01747     06226-9211-29  N0005400000000360
01747     00015-3015-20  N0013058400000240
01747     00015-3023-20  N0015000000000240
01747     00015-3020-20  N0007740000000240
01747     00015-7100-28  N0007200000001200
01747     00015-7404-36  N0001530000001200
01747     00015-7404-99  N0000720000001800
01747     00015-7402-20  N0000546000001200
01747     00015-7405-18  N0001842000001200
01747     00015-7405-28  N0002160000001200
01747     00015-7405-20  N0001188000001200
01747     00015-7403-31  N0001380000001200
01747     00015-7403-20  N0000528000002400
01747     00015-7404-18  N0001440000001200
01747     00015-7401-20  N0000612000001200
01747     62269-0208-24  N0000330000000360
01747     06226-9209-24  N0000360000000360
01747     62269-0209-30  N0002520000000360
01747     62269-0210-30  N0002940000000360
01747     62269-0210-24  N0000450000000360
01747     00015-3010-20  N0022560000000144
01747     00015-3063-01  N0046320000000072
01747     05977-2704-51  N0000234000000360
01747     05977-2704-71  N0000306000000360
01747     59772-7490-04  N0002100000000240
01747     59772-7490-02  N0000810000000240
01747     59772-7497-03  N0001530000000240
01747     59772-7497-01  N0000750000000240
01747     05977-2749-14  N0005040000000144
01747     59772-7492-04  N0002400000000240
01747     59772-7492-02  N0001200000000240
01747     05977-2749-33  N0002880000000240
01747     59772-7493-01  N0001440000000240
01747     05977-2749-44  N0010800000000144
01747     00015-7346-39  N0014400000000720
01747     00015-7339-12  N0001830000000300
01747     00015-7338-12  N0001032000000216
01747     00003-0749-50  N0000768000000360
01747     00003-0749-60  N0003240000000360
01747     00003-0874-50  N0001284000000360
